City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
231,Kismayo,SO,77.58,broken clouds,-0.3582,42.5454,Agan-Hotel
232,Ruteng,ID,75.67,scattered clouds,-8.6136,120.4721,Hotel FX 72
233,Yulara,AU,81.37,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
235,Riberalta,BO,80.87,scattered clouds,-10.9833,-66.1,Hotel Colonial
237,Dohar,BD,89.58,scattered clouds,23.5883,90.1469,zaman cominitue center
240,Kiunga,PG,77.54,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
245,Shaoxing,CN,80.55,overcast clouds,30.011,120.5715,Holiday Inn Shaoxing
247,Manavalakurichi,IN,83.91,clear sky,8.1333,77.3,Jebinrio home
249,Churhat,IN,82.2,few clouds,24.428,81.6703,Roshan Lal Namdeo S/o Motilal Namdeo. Prince Namdeo & Raja Namdeo
250,Estelle,US,86.0,broken clouds,29.8458,-90.1067,Ohio
256,Marzuq,YE,80.69,scattered clouds,14.4,46.4667,حيد القفلة
257,Cabo San Lucas,MX,81.05,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
258,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
259,Mareeba,AU,89.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
265,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
268,Abu Zabad,SD,76.64,overcast clouds,12.35,29.25,حامد محمد نور
271,Greencastle,US,75.06,broken clouds,39.6445,-86.8647,College Inn
273,Bandipur,NP,75.9,scattered clouds,27.9333,84.4167,Bandipur Guest House
275,Hami,CN,82.54,clear sky,42.8,93.45,Laoyutang Resort
278,Guapo,BR,79.18,scattered clouds,-16.8306,-49.5319,Lar de idosos de Guapó
287,Saint George,US,80.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
290,Muri,IN,82.89,scattered clouds,23.3667,85.8667,Sanyasi Lodge
291,Dicabisagan,PH,84.43,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
296,Akdepe,TM,75.29,clear sky,42.0551,59.3788,
297,Tuy Hoa,VN,86.74,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
300,Tual,ID,78.82,heavy intensity rain,-5.6667,132.75,Grand Vilia Hotel
302,Puerto Carreno,CO,75.34,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
305,Havelock,US,82.38,clear sky,34.8791,-76.9013,Sherwood Motel
309,Bubaque,GW,78.6,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
310,Dong Hoi,VN,81.66,overcast clouds,17.4833,106.6,Nam Long Hotel
313,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
323,Chapada Dos Guimaraes,BR,80.26,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
329,Nishihara,JP,87.46,scattered clouds,26.1842,127.7558,Minshuku Agaihama
332,Daru,PG,81.48,overcast clouds,-9.0763,143.2092,Daru Lodge
333,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
334,West Bay,KY,82.99,few clouds,19.3667,-81.4167,Calypso Cove
339,Chiang Klang,TH,86.52,broken clouds,19.2938,100.8617,Sangthong Resort
343,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
345,Itaituba,BR,78.3,overcast clouds,-4.2761,-55.9836,Hotel Campos
346,Samarai,PG,80.35,overcast clouds,-10.6167,150.6667,Nuli Sapi
347,La Romana,DO,79.74,overcast clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
351,Cumana,VE,79.03,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
356,Kantang,TH,82.49,scattered clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
361,Lamar,US,80.58,few clouds,33.6668,-95.5836,Kings Inn Paris TX
362,Buraydah,SA,77.45,scattered clouds,26.326,43.975,Mövenpick Qassim
365,Naze,JP,83.32,few clouds,28.3667,129.4833,Shishime Hotel
