City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Parintins,BR,2022-09-21 17:14:23,-2.6283,-56.7358,105.94,20,84,3.71
132,Port Alfred,ZA,2022-09-21 17:15:54,-33.5906,26.891,61.18,85,1,4.0
133,Tucumcari,US,2022-09-21 17:16:55,35.1717,-103.725,85.84,42,0,11.5
134,Lebu,CL,2022-09-21 17:16:56,-37.6167,-73.65,49.8,70,34,6.78
135,Hasaki,JP,2022-09-21 17:16:56,35.7333,140.8333,63.28,62,99,21.16
136,Rajsamand,IN,2022-09-21 17:16:57,25.0667,73.8833,78.48,62,6,12.93
137,Ixtapa,MX,2022-09-21 17:12:15,20.7,-105.2,83.23,83,75,4.61
138,Camajuani,CU,2022-09-21 17:16:57,22.4833,-79.75,87.94,62,75,9.22
139,Shubarkuduk,KZ,2022-09-21 17:16:58,49.1447,56.4872,69.78,14,0,6.69
140,Sibolga,ID,2022-09-21 17:16:58,1.7427,98.7792,75.6,92,100,2.68
141,Dhidhdhoo,MV,2022-09-21 17:16:58,6.8833,73.1,81.77,75,2,9.6
142,Libreville,GA,2022-09-21 17:16:59,0.3925,9.4537,78.39,80,96,8.01
143,Anchorage,US,2022-09-21 17:14:39,61.2181,-149.9003,45.32,88,100,5.75
144,Broken Hill,AU,2022-09-21 17:17:00,-31.95,141.4333,53.85,93,100,15.77
145,Cove,BJ,2022-09-21 17:17:00,7.221,2.3402,79.92,82,98,4.72
146,Sakaiminato,JP,2022-09-21 17:17:01,35.55,133.2333,60.78,88,75,5.75
147,Holme,DK,2022-09-21 17:17:01,56.1138,10.1725,58.57,68,75,4.76
148,Zheleznodorozhnyy,RU,2022-09-21 17:17:02,55.7503,38.0042,52.21,89,100,3.47
149,Halifax,CA,2022-09-21 17:15:54,44.6453,-63.5724,69.69,88,75,12.66
150,Bagotville,AU,2022-09-21 17:17:02,-28.9833,153.4167,63.86,99,99,15.05
151,Ashland,US,2022-09-21 17:17:03,40.8167,-82.2665,84.27,68,23,16.46
152,Namibe,AO,2022-09-21 17:17:03,-15.1961,12.1522,66.92,83,15,10.76
153,Kahului,US,2022-09-21 17:17:04,20.8947,-156.47,79.84,77,20,10.36
154,Mackay,AU,2022-09-21 17:15:57,-21.15,149.2,73.69,86,83,6.33
155,Mnogovershinnyy,RU,2022-09-21 17:17:05,53.9353,139.9242,38.73,84,81,4.9
